"Balance of Payments and Direct Investment Position Data (Aug 15 2015  4:52:37:710PM)"
"U.S. Direct Investment Abroad,Direct Investment Income Without Current-Cost Adjustment" 
"Bureau of Economic Analysis" 
"By Country Only (Major Countries)  (Millions of Dollars) <br/>"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total"
"    Dominican Republic",15                      ,30                      ,29                      ,25                      ,12                      ,25                      ,23                      ,147                     ,162                     ,171                     ,216                     ,235                     ,71                      ,116                     ,117                     ,169                     ,167                     ,274                     ,356                     ,202                     ,87                      ,-28                     ,145                     ,70                      ,129                     ,117                     ,27                      ,125                     ,207                     ,238                     ,258                     ,228                     ,161                     
"    Jamaica",31                      ,5                       ,11                      ,9                       ,31                      ,70                      ,129                     ,254                     ,170                     ,132                     ,125                     ,22                      ,92                      ,77                      ,177                     ,121                     ,42                      ,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s."
"    Netherlands Antilles",-1800                  ,-3189                  ,-3306                  ,-3134                  ,-2708                  ,-2176                  ,-1908                  ,-1309                  ,-932                    ,-888                    ,-417                    ,-387                    ,461                     ,295                     ,286                     ,201                     ,78                      ,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s."
"    Trinidad and Tobago",83                      ,72                      ,62                      ,212                     ,78                      ,49                      ,57                      ,75                      ,105                     ,130                     ,161                     ,66                      ,44                      ,139                     ,181                     ,127                     ,56                      ,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s."
"    United Kingdom Islands, Caribbean",1214                   ,1107                   ,949                     ,890                     ,714                     ,479                     ,1045                   ,701                     ,789                     ,1073                   ,946                     ,499                     ,797                     ,1034                   ,683                     ,1650                   ,1909                   ,2466                   ,1606                   ,3719                   ,4161                   ,5388                   ,7322                   ,9239                   ,5112                   ,10431                  ,13289                  ,16380                  ,19967                  ,19863                  ,23113                  ,23644                  ,26124                  
"    Other","(*)",21                      ,9                       ,12                      ,15                      ,22                      ,20                      ,55                      ,56                      ,20                      ,32                      ,32                      ,61                      ,129                     ,59                      ,62                      ,110                     ,770                     ,815                     ,1464                   ,1036                   ,1087                   ,3764                   ,6043                   ,7274                   ,6512                   ,10563                  ,4798                   ,5616                   ,5066                   ,2999                   ,3643                   ,3342                   
"Africa",784                     ,1033                   ,1280                   ,962                     ,537                     ,926                     ,783                     ,775                     ,902                     ,1143                   ,1172                   ,1226                   ,1297                   ,1797                   ,1801                   ,1948                   ,1399                   ,1803                   ,2010                   ,1554                   ,1895                   ,3156                   ,4256                   ,5282                   ,7208                   ,6726                   ,8133                   ,5297                   ,6903                   ,8787                   ,7584                   ,6860                   ,5252                   
"  Egypt",650                     ,605                     ,586                     ,490                     ,97                      ,214                     ,207                     ,286                     ,407                     ,324                     ,343                     ,244                     ,246                     ,280                     ,359                     ,315                     ,176                     ,485                     ,425                     ,421                     ,513                     ,500                     ,648                     ,952                     ,1090                   ,1444                   ,1759                   ,1622                   ,1973                   ,2509                   ,2369                   ,1665                   ,1107                   
"  Nigeria",123                     ,189                     ,337                     ,334                     ,532                     ,218                     ,145                     ,200                     ,197                     ,642                     ,620                     ,571                     ,539                     ,776                     ,774                     ,779                     ,514                     ,639                     ,723                     ,317                     ,388                     ,528                     ,647                     ,74                      ,1596                   ,1221                   ,1458                   ,923                     ,1365                   ,1450                   ,1544                   ,1372                   ,1002                   
"  South Africa",246                     ,286                     ,231                     ,149                     ,284                     ,242                     ,169                     ,122                     ,163                     ,158                     ,156                     ,174                     ,167                     ,170                     ,99                      ,244                     ,334                     ,187                     ,74                      ,23                      ,87                      ,479                     ,661                     ,708                     ,767                     ,953                     ,461                     ,350                     ,781                     ,672                     ,657                     ,570                     ,529                     
"  Other",-236                    ,-47                     ,127                     ,-11                     ,-377                    ,252                     ,263                     ,166                     ,135                     ,19                      ,53                      ,237                     ,345                     ,571                     ,569                     ,610                     ,373                     ,492                     ,788                     ,793                     ,907                     ,1649                   ,2300                   ,3548                   ,3755                   ,3108                   ,4454                   ,2402                   ,2784                   ,4156                   ,3014                   ,3253                   ,2613                   
"Middle East",1266                   ,1002                   ,860                     ,406                     ,154                     ,556                     ,825                     ,646                     ,1071                   ,978                     ,1028                   ,875                     ,1021                   ,1373                   ,1412                   ,1340                   ,1021                   ,1334                   ,2272                   ,1545                   ,1891                   ,2640                   ,4253                   ,5110                   ,6043                   ,7692                   ,8817                   ,4932                   ,8959                   ,15439                  ,15359                  ,15783                  ,14995                  
