"Balance of Payments and Direct Investment Position Data (Aug 15 2015  4:41:50:703PM)"
"Foreign Direct Investment in the U.S.,Financial Inflow Transactions Without Current-Cost Adjustment" 
"Bureau of Economic Analysis" 
"By Country Only (Major Countries)  (Millions of Dollars) <br/>"
"","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total","All Industries Total"
"  Other","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","(D)","(D)",66                      ,8                       ,309                     ,35                      ,46                      ,53                      ,-119                    ,-74                     ,457                     ,-749                    ,311                     ,450                     ,-204                    ,62                      ,9                       ,-505                    ,549                     ,124                     ,222                     ,521                     ,-455                    ,959                     ,1726                   ,166                     ,-46                     ,313                     
"Middle East",234                     ,2660                   ,792                     ,"(*)",784                     ,81                      ,149                     ,302                     ,1378                   ,900                     ,-613                    ,599                     ,337                     ,495                     ,251                     ,-360                    ,496                     ,735                     ,-762                    ,376                     ,2389                   ,-401                    ,1138                   ,393                     ,713                     ,1799                   ,2504                   ,5430                   ,3455                   ,1366                   ,-1747                  ,8429                   ,873                     ,1775                   ,-2084                  
"  Israel",32                      ,-12                     ,91                      ,17                      ,76                      ,-29                     ,51                      ,-14                     ,-56                     ,15                      ,5                       ,613                     ,102                     ,498                     ,199                     ,-46                     ,10                      ,351                     ,485                     ,367                     ,776                     ,-86                     ,636                     ,184                     ,593                     ,234                     ,"(D)","(D)",2016                   ,1166                   ,273                     ,6202                   ,855                     ,685                     ,-1414                  
"  Kuwait","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",347                     ,-99                     ,257                     ,49                      ,214                     ,187                     ,60                      ,53                      ,72                      ,308                     ,247                     ,"(D)","(D)",46                      ,38                      ,51                      ,"(D)",121                     ,"(D)",313                     ,-115                    ,-538                    ,-12                     ,-9                      ,1018                   ,-14                     ,282                     ,20                      
"  Lebanon","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",-1                      ,-2                      ,-2                      ,-7                      ,-6                      ,-3                      ,-2                      ,-2                      ,-2                      ,-2                      ,"(*)",-2                      ,"(*)",2                       ,"(*)","(*)","(*)","(*)",-6                      ,-1                      ,"(D)",-1                      ,"(D)","(D)","(D)","(*)",2                       ,9                       
"  Saudi Arabia","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",-25                     ,1508                   ,611                     ,-613                    ,-198                    ,5                       ,-53                     ,81                      ,"(D)",187                     ,147                     ,"(D)","(D)","(D)",-355                    ,"(D)","(D)",29                      ,"(D)","(D)","(D)",-224                    ,"(D)",-495                    ,"(D)","(D)",610                     ,-1178                  
"  United Arab Emirates","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",-11                     ,67                      ,2                       ,-13                     ,1                       ,3                       ,7                       ,-42                     ,1                       ,-11                     ,-11                     ,-32                     ,-28                     ,51                      ,-19                     ,6                       ,4                       ,-23                     ,"(D)",1064                   ,"(D)",1617                   ,151                     ,-1669                  ,630                     ,-197                    ,-552                    ,447                     
"  Other",202                     ,2672                   ,701                     ,-18                     ,708                     ,111                     ,98                      ,6                       ,-41                     ,19                      ,-33                     ,-24                     ,42                      ,-14                     ,-39                     ,"(D)",4                       ,"(*)",5                       ,12                      ,"(D)",21                      ,"(D)",-21                     ,-8                      ,-19                     ,-13                     ,582                     ,587                     ,151                     ,"(D)",-323                    ,"(D)",748                     ,32                      
"Asia and Pacific","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",10965                  ,20587                  ,19147                  ,20474                  ,14352                  ,4399                   ,3472                   ,7499                   ,11854                  ,17493                  ,13383                  ,9295                   ,15876                  ,19912                  ,2104                   ,13008                  ,13755                  ,24769                  ,13056                  ,25225                  ,39721                  ,42005                  ,5482                   ,26875                  ,50832                  ,27839                  ,47570                  ,42409                  
"  Australia","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",1457                   ,2741                   ,-81                     ,1279                   ,-276                    ,-282                    ,312                     ,960                     ,2003                   ,5321                   ,666                     ,1506                   ,4193                   ,4935                   ,6490                   ,6594                   ,3422                   ,3099                   ,-5253                  ,2174                   ,5961                   ,4574                   ,-3850                  ,4047                   ,21163                  ,-7834                  ,-4966                  ,94                      
"  China","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",-120                    ,-62                     ,150                     ,146                     ,315                     ,8                       ,500                     ,500                     ,1037                   ,1105                   ,3415                   ,2821                   ,968                     
"  Hong Kong","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",456                     ,88                      ,388                     ,259                     ,50                      ,135                     ,152                     ,404                     ,-134                    ,57                      ,77                      ,145                     ,-256                    ,669                     ,57                      ,711                     ,-41                     ,1880                   ,838                     ,97                      ,370                     ,444                     ,-10                     ,271                     ,236                     ,1362                   ,-3440                  ,635                     
"  India","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",-16                     ,125                     ,277                     ,868                     ,443                     ,731                     ,1231                   ,490                     ,1289                   ,1241                   ,374                     ,139                     ,718                     
"  Japan","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",8806                   ,17205                  ,18653                  ,18754                  ,12782                  ,4245                   ,2949                   ,5486                   ,8118                   ,13337                  ,10187                  ,8024                   ,11555                  ,7820                   ,-3132                  ,6500                   ,8544                   ,17489                  ,14200                  ,16466                  ,21134                  ,22321                  ,6544                   ,15805                  ,17077                  ,22436                  ,43619                  ,33765                  
"  Korea, Republic of","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",-136                    ,353                     ,-821                    ,-698                    ,1848                   ,203                     ,-199                    ,58                      ,915                     ,-760                    ,184                     ,110                     ,960                     ,438                     ,24                      ,-280                    ,386                     ,1143                   ,1039                   ,3283                   ,4751                   ,1440                   ,236                     ,2245                   ,4798                   ,6300                   ,6168                   ,4139                   
"  Malaysia","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",-27                     ,52                      ,"(*)",19                      ,-9                      ,26                      ,187                     ,154                     ,-49                     ,82                      ,75                      ,-200                    ,-76                     ,300                     ,86                      ,-37                     ,-49                     ,17                      ,96                      ,28                      ,37                      ,22                      ,-39                     ,-112                    ,475                     ,-275                    ,-17                     ,239                     
"  New Zealand","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",102                     ,-70                     ,-47                     ,56                      ,-29                     ,9                       ,32                      ,40                      ,-32                     ,4                       ,60                      ,85                      ,135                     ,-11                     ,72                      ,115                     ,104                     ,182                     ,-134                    ,-131                    ,423                     ,470                     ,230                     ,77                      ,1325                   ,-477                    ,-37                     ,68                      
"  Philippines","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",-1                      ,5                       ,6                       ,-5                      ,-27                     ,10                      ,-5                      ,27                      ,-4                      ,11                      ,8                       ,11                      ,13                      ,-49                     ,-21                     ,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s."
"  Singapore","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",139                     ,119                     ,471                     ,370                     ,-350                    ,-268                    ,-336                    ,115                     ,232                     ,-410                    ,1363                   ,-809                    ,-560                    ,5911                   ,-1451                  ,-484                    ,1096                   ,348                     ,798                     ,2217                   ,5892                   ,10471                  ,1328                   ,1496                   ,2862                   ,1785                   ,1165                   ,1184                   
"  Taiwan","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",71                      ,131                     ,421                     ,356                     ,329                     ,197                     ,354                     ,114                     ,619                     ,-2                      ,514                     ,516                     ,-217                    ,64                      ,-503                    ,17                      ,136                     ,234                     ,374                     ,149                     ,269                     ,537                     ,-405                    ,726                     ,284                     ,484                     ,1087                   ,527                     
"  Other","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",99                      ,-38                     ,158                     ,84                      ,32                      ,124                     ,26                      ,141                     ,187                     ,-148                    ,250                     ,-91                     ,129                     ,-166                    ,483                     ,8                       ,93                      ,-50                     ,84                      ,184                     ,143                     ,-5                      ,458                     ,-6                      ,265                     ,269                     ,1030                   ,74                      
